ORDER,CLUSTER,DOMAIN,STRUCTURE
1,5,MEMORY,left_amygdala
1,5,MEMORY,left_brainstem
1,5,MEMORY,left_hippocampus
1,5,MEMORY,left_inferior_temporal_gyrus_anterior_division
1,5,MEMORY,left_inferior_temporal_gyrus_posterior_division
1,5,MEMORY,left_parahippocampal_gyrus_anterior_division
1,5,MEMORY,left_parahippocampal_gyrus_posterior_division
1,5,MEMORY,left_temporal_fusiform_cortex_anterior_division
1,5,MEMORY,left_temporal_fusiform_cortex_posterior_division
1,5,MEMORY,right_amygdala
1,5,MEMORY,right_brainstem
1,5,MEMORY,right_hippocampus
1,5,MEMORY,right_inferior_temporal_gyrus_anterior_division
1,5,MEMORY,right_inferior_temporal_gyrus_posterior_division
1,5,MEMORY,right_parahippocampal_gyrus_anterior_division
1,5,MEMORY,right_parahippocampal_gyrus_posterior_division
1,5,MEMORY,right_temporal_fusiform_cortex_anterior_division
1,5,MEMORY,right_temporal_fusiform_cortex_posterior_division
2,4,REWARD,left_accumbens
2,4,REWARD,left_frontal_medial_cortex
2,4,REWARD,left_subcallosal_cortex
2,4,REWARD,right_accumbens
2,4,REWARD,right_frontal_medial_cortex
2,4,REWARD,right_subcallosal_cortex
3,6,COGNITIVE,left_caudate
3,6,COGNITIVE,left_cingulate_gyrus_anterior_division
3,6,COGNITIVE,left_cingulate_gyrus_posterior_division
3,6,COGNITIVE,left_frontal_operculum_cortex
3,6,COGNITIVE,left_frontal_orbital_cortex
3,6,COGNITIVE,left_frontal_pole
3,6,COGNITIVE,left_inferior_frontal_gyrus_pars_triangularis
3,6,COGNITIVE,left_insular_cortex
3,6,COGNITIVE,left_pallidum
3,6,COGNITIVE,left_paracingulate_gyrus
3,6,COGNITIVE,left_putamen
3,6,COGNITIVE,left_thalamus
3,6,COGNITIVE,right_caudate
3,6,COGNITIVE,right_cingulate_gyrus_anterior_division
3,6,COGNITIVE,right_cingulate_gyrus_posterior_division
3,6,COGNITIVE,right_frontal_operculum_cortex
3,6,COGNITIVE,right_frontal_orbital_cortex
3,6,COGNITIVE,right_frontal_pole
3,6,COGNITIVE,right_inferior_frontal_gyrus_pars_triangularis
3,6,COGNITIVE,right_insular_cortex
3,6,COGNITIVE,right_pallidum
3,6,COGNITIVE,right_paracingulate_gyrus
3,6,COGNITIVE,right_putamen
3,6,COGNITIVE,right_superior_frontal_gyrus
3,6,COGNITIVE,right_temporal_pole
3,6,COGNITIVE,right_thalamus
4,3,MOVEMENT,left_crus_ii
4,3,MOVEMENT,left_iiv
4,3,MOVEMENT,left_ix
4,3,MOVEMENT,left_vermis_crus_i
4,3,MOVEMENT,left_vermis_crus_ii
4,3,MOVEMENT,left_vermis_ix
4,3,MOVEMENT,left_vermis_vi
4,3,MOVEMENT,left_vermis_viib
4,3,MOVEMENT,left_vermis_viiia
4,3,MOVEMENT,left_vermis_viiib
4,3,MOVEMENT,left_vermis_x
4,3,MOVEMENT,left_viib
4,3,MOVEMENT,left_viiia
4,3,MOVEMENT,left_viiib
4,3,MOVEMENT,left_x
4,3,MOVEMENT,right_crus_ii
4,3,MOVEMENT,right_iiv
4,3,MOVEMENT,right_ix
4,3,MOVEMENT,right_vermis_crus_i
4,3,MOVEMENT,right_vermis_crus_ii
4,3,MOVEMENT,right_vermis_ix
4,3,MOVEMENT,right_vermis_vi
4,3,MOVEMENT,right_vermis_viib
4,3,MOVEMENT,right_vermis_viiia
4,3,MOVEMENT,right_vermis_viiib
4,3,MOVEMENT,right_vermis_x
4,3,MOVEMENT,right_viib
4,3,MOVEMENT,right_viiia
4,3,MOVEMENT,right_viiib
4,3,MOVEMENT,right_x
5,2,VISION,left_angular_gyrus
5,2,VISION,left_crus_i
5,2,VISION,left_cuneal_cortex
5,2,VISION,left_inferior_frontal_gyrus_pars_opercularis
5,2,VISION,left_inferior_temporal_gyrus_temporooccipital_part
5,2,VISION,left_intracalcarine_cortex
5,2,VISION,left_lateral_occipital_cortex_inferior_division
5,2,VISION,left_lateral_occipital_cortex_superior_division
5,2,VISION,left_lingual_gyrus
5,2,VISION,left_middle_frontal_gyrus
5,2,VISION,left_middle_temporal_gyrus_temporooccipital_part
5,2,VISION,left_occipital_fusiform_gyrus
5,2,VISION,left_occipital_pole
5,2,VISION,left_postcentral_gyrus
5,2,VISION,left_precentral_gyrus
5,2,VISION,left_precuneous_cortex
5,2,VISION,left_superior_frontal_gyrus
5,2,VISION,left_superior_parietal_lobule
5,2,VISION,left_supplementary_motor_cortex
5,2,VISION,left_supracalcarine_cortex
5,2,VISION,left_supramarginal_gyrus_anterior_division
5,2,VISION,left_supramarginal_gyrus_posterior_division
5,2,VISION,left_temporal_occipital_fusiform_cortex
5,2,VISION,left_v
5,2,VISION,left_vi
5,2,VISION,right_angular_gyrus
5,2,VISION,right_crus_i
5,2,VISION,right_cuneal_cortex
5,2,VISION,right_inferior_frontal_gyrus_pars_opercularis
5,2,VISION,right_inferior_temporal_gyrus_temporooccipital_part
5,2,VISION,right_intracalcarine_cortex
5,2,VISION,right_lateral_occipital_cortex_inferior_division
5,2,VISION,right_lateral_occipital_cortex_superior_division
5,2,VISION,right_lingual_gyrus
5,2,VISION,right_middle_frontal_gyrus
5,2,VISION,right_middle_temporal_gyrus_temporooccipital_part
5,2,VISION,right_occipital_fusiform_gyrus
5,2,VISION,right_occipital_pole
5,2,VISION,right_postcentral_gyrus
5,2,VISION,right_precentral_gyrus
5,2,VISION,right_precuneous_cortex
5,2,VISION,right_superior_parietal_lobule
5,2,VISION,right_supplementary_motor_cortex
5,2,VISION,right_supracalcarine_cortex
5,2,VISION,right_supramarginal_gyrus_anterior_division
5,2,VISION,right_supramarginal_gyrus_posterior_division
5,2,VISION,right_temporal_occipital_fusiform_cortex
5,2,VISION,right_v
5,2,VISION,right_vi
6,1,HEARING,left_central_opercular_cortex
6,1,HEARING,left_heschls_gyrus
6,1,HEARING,left_middle_temporal_gyrus_anterior_division
6,1,HEARING,left_middle_temporal_gyrus_posterior_division
6,1,HEARING,left_parietal_operculum_cortex
6,1,HEARING,left_planum_polare
6,1,HEARING,left_planum_temporale
6,1,HEARING,left_superior_temporal_gyrus_anterior_division
6,1,HEARING,left_superior_temporal_gyrus_posterior_division
6,1,HEARING,left_temporal_pole
6,1,HEARING,right_central_opercular_cortex
6,1,HEARING,right_heschls_gyrus
6,1,HEARING,right_middle_temporal_gyrus_anterior_division
6,1,HEARING,right_middle_temporal_gyrus_posterior_division
6,1,HEARING,right_parietal_operculum_cortex
6,1,HEARING,right_planum_polare
6,1,HEARING,right_planum_temporale
6,1,HEARING,right_superior_temporal_gyrus_anterior_division
6,1,HEARING,right_superior_temporal_gyrus_posterior_division
